name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,product_id
"aarna Scented Piller Candle for Home Dcor and Candle Light Dinner, Party, Home (Size 3X3) (Color- White)",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/51baXnpADVL._AC_UL320_.jpg,https://www.amazon.in/aarna-Scented-Piller-Candle-Dinner/dp/B0BMG9DGN4/ref=sr_1_1779?qid=1679213450&s=kitchen&sr=1-1779,4.0,5,₹190,₹999,5143
"Heart Home Roman Number Round Shaped Wooden 10"" Wall Clock (Brown, Standard - 25cm x 25cm)",home & kitchen,Home Décor,https://m.media-amazon.com/images/I/81aAE9M2t7L._AC_UL320_.jpg,https://www.amazon.in/Heart-Home-Number-Shaped-Standard/dp/B0982ZLVQP/ref=sr_1_1780?qid=1679213450&s=kitchen&sr=1-1780,2.8,833,,₹199,5144
"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/71eVAHH3tsL._AC_UL320_.jpg,https://www.amazon.in/boAt-A325-Tangle-Free-Charging-Transmission/dp/B08WRBG3XW/ref=sr_1_4?qid=1679128123&s=electronics&sr=1-4,4.1,"14,024",₹199,₹499,5145
Echo Dot (3rd Gen) - Alexa smart speaker with loud 360 degree sound & Bluetooth,"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61EXU8BuGZL._AC_UL320_.jpg,https://www.amazon.in/Echo-Dot-3rd-Gen/dp/B07PFFMP9P/ref=sr_1_5?qid=1679128123&s=electronics&sr=1-5,4.4,"98,293","₹2,499","₹4,499",5146
"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/51Sk5hmB7nL._AC_UL320_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_6?qid=1679128123&s=electronics&sr=1-6,4.2,"17,708",₹149,₹399,5147
Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (G...,"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/51CvP9P2efL._AC_UL320_.jpg,https://www.amazon.in/Portronics-POR-1081-Charging-1-2Meter-Function/dp/B08CF3D7QR/ref=sr_1_7?qid=1679128123&s=electronics&sr=1-7,4.3,"14,136",₹129,₹339,5148
"Duracell USB Type C, 3A Braided Sync & Fast Charging Cable, 3.9 Ft (1.2M), QC 2.0/3.0 Ultra Fast Charging, Compatible with...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/71sMR4yd6UL._AC_UL320_.jpg,https://www.amazon.in/DURACELL-Type-C-braided-Charge-Cable/dp/B09C6JXV8Y/ref=sr_1_8?qid=1679128123&s=electronics&sr=1-8,4.3,"2,215",₹368,₹699,5149
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devi...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61ZeHF2Cf4L._AC_UL320_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_9?qid=1679128123&s=electronics&sr=1-9,4.0,"45,983",₹199,₹299,5150
"Mi Type C 3Amp 100cm Fast Charge Cable Black|USB to Type C|Supports Upto 22.5W Fast Charging|Suitable for All Smartphones,...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/71xuP3mbiRL._AC_UL320_.jpg,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_11?qid=1679128123&s=electronics&sr=1-11,4.3,"31,112",₹229,₹299,5151
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61b91WUDxmL._AC_UL320_.jpg,https://www.amazon.in/Rugged-Extra-Tough-Unbreakable-Braided/dp/B0789LZTCJ/ref=sr_1_12?qid=1679128123&s=electronics&sr=1-12,4.2,"96,230",₹299,₹799,5152
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/71a4ZQNqTiL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_16?qid=1679128123&s=electronics&sr=1-16,4.2,"8,877","₹12,990","₹22,900",5153
"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/31IvNJZnmdL._AC_UL320_.jpg,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_17?qid=1679128123&s=electronics&sr=1-17,3.9,"7,408",₹199,₹999,5154
"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iP...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/71ojkmsYe8L._AC_UL320_.jpg,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_18?qid=1679128123&s=electronics&sr=1-18,4.2,"25,351",₹379,"₹1,099",5155
MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/81tD7OZ0RXL._AC_UL320_.jpg,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_19?qid=1679128123&s=electronics&sr=1-19,4.2,"34,286","₹13,999","₹24,999",5156
"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon ...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/51mW4YZ7wXL._AC_UL320_.jpg,https://www.amazon.in/Solero-MB301-Charging-480Mbps-1-5-Meter/dp/B08Y1SJVV5/ref=sr_1_20?qid=1679128123&s=electronics&sr=1-20,3.9,"26,310",₹99,₹666.66,5157
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/71L-lTQnJiL._AC_UL320_.jpg,https://www.amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_21?qid=1679128123&s=electronics&sr=1-21,4.2,"47,642","₹13,999","₹24,999",5158
OnePlus 138 cm (55 inches) Y Series 4K Ultra HD Smart Android LED TV 55Y1S Pro (Black),"tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/81Itairz1YL._AC_UL320_.jpg,https://www.amazon.in/OnePlus-55-inches-Android-Pro/dp/B0BLVQBPCC/ref=sr_1_22?qid=1679128123&s=electronics&sr=1-22,4.2,"8,290","₹38,999","₹49,999",5159
"PTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter ...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/51MIEYMrK-L._AC_UL320_.jpg,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_23?qid=1679128123&s=electronics&sr=1-23,3.9,"26,310",₹149,"₹1,000",5160
"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible w...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61e61vCPY6L._AC_UL320_.jpg,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_24?qid=1679128123&s=electronics&sr=1-24,4.2,"183,124",₹499,₹999,5161
"tizum HDMI to VGA Adapter/ Connector/ Converter Cable 1080P (Male to Female) for Media Players, Xbox, Projector, Computer,...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61F4szMc-gL._AC_UL320_.jpg,https://www.amazon.in/Adapter-Projector-Computer-Laptop-Projectors/dp/B085194JFL/ref=sr_1_25?qid=1679128123&s=electronics&sr=1-25,3.7,"11,431",₹259,₹499,5162
"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Sm...","tv, audio & cameras",Home Entertainment Systems,https://m.media-amazon.com/images/I/61K4s3RQTrL._AC_UL320_.jpg,https://www.amazon.in/Ambrane-Charging-Unbreakable-Braided-Connector/dp/B09CMM3VGK/ref=sr_1_26?qid=1679128123&s=electronics&sr=1-26,4.0,"2,262",₹199,₹499,5163
